Message,IsToxic
Thầy chia sẻ phòng trọ Thái Nguyên,0
Nhóm mình tối nay họp online nhé,0
Trời ơi cứu tui với bài khó quá,0
Bạn tìm phòng ở Lab vào tối thứ 5,0
Đồ vô học clgt ạ,1
Mọi người hẹn lịch phòng trọ Thái Nguyên...,0
Thằng làm ăn như hạch biến đi nhé,1
Mày lừa đảo vcl ạ,1
Con rác rưởi clgt nhé,1
Lũ ngu clgt ạ,1
Thầy hẹn lịch Lab vào tối thứ 5...,0
Lũ làm ăn như hạch vcl nhé,1
Lũ rác rưởi thế nhỉ...,1
Lũ rác rưởi đm...,1
Nhóm mình giúp em sửa lỗi môn .NET???,0
Em đăng bài đồ án C#...,0
Lũ ngu thế nhỉ!,1
Con óc chó clgt ạ,1
Con óc chó vcl!,1
Nhóm mình hẹn lịch môn .NET???,0
Con óc chó thế nhỉ???,1
ngu vl,1
Lũ lừa đảo nghỉ học đi!,1
clgt,1
Lũ làm ăn như hạch biến đi ạ,1
Mình giúp em sửa lỗi môn .NET???,0
Con rác rưởi thế nhỉ ạ,1
Mày làm ăn như hạch vcl???,1
Nhóm mình tìm phòng ở đồ án C#,0
Mày câm mồm vào,1
đ.m,1
làm ăn như cái đb,1
Em cho hỏi về đồ án C#???,0
Mọi người đăng bài khu C5,0
Lũ rác rưởi biến đi!,1
vl,1
Code chạy bị lỗi bug hoài chán ghê,0
thằng ranh con,1
Đồ án này làm chán quá toàn lỗi,0
Em tìm phòng ở Lab vào tối thứ 5...,0
Bạn đăng bài thư viện ML.NET???,0
Lũ óc chó vcl,1
Em giúp em sửa lỗi Lab vào tối thứ 5,0
Lũ rác rưởi biến đi!,1
Đồ ngu clgt ạ,1
Bắt chó đi dạo thôi,0
Mày làm ăn như hạch thế nhỉ...,1
Đồ vô học đm ạ,1
Đồ óc chó biến đi ạ,1
Thằng lừa đảo thế nhỉ???,1
Hôm nay đi học mệt thật sự,0
Mày lừa đảo thế nhỉ,1
Mày óc chó đm ạ,1
Thằng ngu clgt nhé,1
Nhóm mình giúp em sửa lỗi phòng trọ Thái Nguyên!,0
Mày vô học nghỉ học đi...,1
Thầy hẹn lịch môn .NET nhé,0
Cảm ơn bạn nhiều nha,0
Đồ ngu thế nhỉ ạ,1
Thằng vô học clgt,1
Thằng lừa đảo thế nhỉ???,1
Con óc chó thế nhỉ ạ,1
Em tìm phòng ở thư viện ML.NET nhé,0
Thầy tìm phòng ở đồ án C#!,0
Đồ lừa đảo vcl...,1
Lũ lừa đảo vcl ạ,1
Thầy giúp em sửa lỗi thư viện ML.NET,0
Em tìm phòng ở Lab vào tối thứ 5 nhé,0
Bạn giúp em sửa lỗi môn .NET???,0
Thầy giúp em sửa lỗi phòng trọ Thái Nguyên???,0
Mọi người cho hỏi về môn .NET ạ,0
Em tìm phòng ở đồ án C# nhé,0
Lũ óc chó clgt???,1
Nhóm mình đăng bài Lab vào tối thứ 5 ạ,0
óc chó à,1
Bạn hẹn lịch đồ án C#...,0
vl,1
Đồ óc chó vcl ạ,1
Đồ vô học vcl ạ,1
Mọi người chia sẻ tài liệu ôn thi đi,0
Ai có tài liệu môn ML.NET không cho mình xin với,0
Thằng mặt lồn,1
Thầy giúp em sửa lỗi đồ án C#...,0
Cút ngay cho khuất mắt tao,1
Bạn giúp em sửa lỗi môn .NET...,0
Con làm ăn như hạch biến đi nhé,1
Mọi người cho hỏi về đồ án C#!,0
Cái đồ quỷ sứ này làm nũng hoài,0
Thầy tìm phòng ở thư viện ML.NET nhé,0
đậu xanh,1
Mình cho hỏi về Lab vào tối thứ 5!,0
Thầy đăng bài khu C5,0
Nhóm mình chia sẻ Lab vào tối thứ 5 nhé,0
Bạn đăng bài môn .NET...,0
Thầy giúp em sửa lỗi phòng trọ Thái Nguyên nhé,0
Bạn giúp em sửa lỗi phòng trọ Thái Nguyên!,0
Thằng rác rưởi vcl ạ,1
Bạn đăng bài khu C5???,0
thằng ranh con,1
vl,1
Thầy chia sẻ thư viện ML.NET...,0
đmm,1
Em tìm phòng ở đồ án C#???,0
Thằng chó đẻ,1
vl thật,1
Con vô học đm???,1
Mày làm ăn như hạch nghỉ học đi...,1
Bạn chia sẻ phòng trọ Thái Nguyên!,0
Mình cho hỏi về thư viện ML.NET!,0
Mọi người cho hỏi về Lab vào tối thứ 5???,0
Lỗi này fix thế nào anh em?,0
Nhóm mình đăng bài phòng trọ Thái Nguyên nhé,0
Mày sủa bậy bạ gì đấy,1
Đồ án này làm chán quá toàn lỗi,0
Mọi người giúp em sửa lỗi thư viện ML.NET,0
Bạn hẹn lịch khu C5 ạ,0
Lũ ngu thế nhỉ???,1
Mình đăng bài khu C5 nhé,0
Đồ vô học clgt!,1
Đồ vô học clgt nhé,1
clgt,1
Mày óc chó đm ạ,1
Em tìm phòng ở Lab vào tối thứ 5...,0
Mình cho hỏi về đồ án C# ạ,0
Em đăng bài thư viện ML.NET...,0
Em chia sẻ Lab vào tối thứ 5...,0
Hôm nay đi học mệt thật sự,0
Em đăng bài đồ án C#!,0
Em tìm phòng ở Lab vào tối thứ 5,0
Thằng vô học clgt nhé,1
Em đăng bài thư viện ML.NET???,0
Bạn tìm phòng ở khu C5 ạ,0
Em giúp em sửa lỗi phòng trọ Thái Nguyên ạ,0
Thầy cho hỏi về khu C5???,0
Thầy đăng bài Lab vào tối thứ 5...,0
Thầy giúp em sửa lỗi khu C5 ạ,0
Mày óc chó clgt nhé,1
Cút ngay cho khuất mắt tao,1
Bạn cho hỏi về môn .NET,0
Em tìm phòng ở thư viện ML.NET,0
Đồ lừa đảo đm ạ,1
Thầy cho hỏi về thư viện ML.NET nhé,0
Bạn đăng bài khu C5 nhé,0
Thuốc này dùng để diệt chuột,0
Cái đồ quỷ sứ này làm nũng hoài,0
Em hẹn lịch phòng trọ Thái Nguyên,0
ng^,1
Con rác rưởi clgt ạ,1
Mày làm ăn như hạch vcl!,1
Đồ ngu clgt???,1
Bạn đăng bài thư viện ML.NET!,0
Mình đăng bài thư viện ML.NET ạ,0
Mọi người chia sẻ tài liệu ôn thi đi,0
Cho mình hỏi cách đăng ký môn học,0
Bạn cho hỏi về thư viện ML.NET ạ,0
Thầy tìm phòng ở khu C5???,0
Bài này khó quá làm mãi không ra,0
Mình cho hỏi về khu C5,0
Con vô học nghỉ học đi,1
Nhóm mình giúp em sửa lỗi đồ án C# ạ,0
Nhóm mình hẹn lịch đồ án C#???,0
đmm,1
Mình đăng bài đồ án C#,0
Mày làm ăn như hạch vcl...,1
Thằng óc chó nghỉ học đi nhé,1
ngu vl,1
Con lừa đảo đm,1
Đồ óc chó thế nhỉ!,1
Mình chia sẻ đồ án C# ạ,0
đm,1
vl thật,1
Nhóm mình cho hỏi về phòng trọ Thái Nguyên nhé,0
Mày làm ăn như hạch nghỉ học đi!,1
Em hẹn lịch thư viện ML.NET???,0
Thuốc này dùng để diệt chuột,0
thằng ranh con,1
Thầy giúp em sửa lỗi phòng trọ Thái Nguyên,0
Bạn tìm phòng ở phòng trọ Thái Nguyên...,0
Thầy hẹn lịch Lab vào tối thứ 5 nhé,0
v c l,1
Lũ vô học đm nhé,1
Em cho hỏi về Lab vào tối thứ 5???,0
Thằng mặt lồn,1
Con lừa đảo thế nhỉ!,1
Con làm ăn như hạch nghỉ học đi???,1
Mày làm ăn như hạch biến đi,1
Em giúp em sửa lỗi Lab vào tối thứ 5,0
Mọi người cho hỏi về Lab vào tối thứ 5 nhé,0
đ m m,1
cđmb,1
Lũ lừa đảo đm???,1
Mày làm ăn như hạch thế nhỉ ạ,1
rác rưởi thật sự,1
Em đăng bài đồ án C# nhé,0
Mọi người hẹn lịch khu C5 ạ,0
Đồ vô học thế nhỉ...,1
Lũ làm ăn như hạch thế nhỉ...,1
Mày óc chó nghỉ học đi nhé,1
Lũ vô học đm...,1
Bạn cho hỏi về Lab vào tối thứ 5 ạ,0
Mày óc chó đm!,1
Bạn đăng bài khu C5 nhé,0
Mày sủa bậy bạ gì đấy,1
Đồ làm ăn như hạch thế nhỉ nhé,1
Em giúp em sửa lỗi môn .NET...,0
Nhóm mình hẹn lịch Lab vào tối thứ 5,0
Đồ óc chó vcl,1
Mày óc chó clgt...,1
Em cho hỏi về môn .NET ạ,0
Đồ lừa đảo vcl...,1
Con điên này sủa cái gì,1
Thầy hẹn lịch khu C5???,0
Đồ óc chó biến đi ạ,1
Nhóm mình chia sẻ thư viện ML.NET ạ,0
Trường mình dạo này nhiều sự kiện ghê,0
Bạn hẹn lịch môn .NET ạ,0
Lũ óc chó clgt!,1
Bài này khó quá làm mãi không ra,0
Lũ lừa đảo biến đi???,1
Đồ óc chó đm...,1
Thầy đăng bài môn .NET,0
Mày làm ăn như hạch vcl!,1
Mọi người hẹn lịch thư viện ML.NET ạ,0
Mình tìm phòng ở Lab vào tối thứ 5,0
Chán như con gián,0
Thầy cho hỏi về phòng trọ Thái Nguyên...,0
Đồ vô học đm...,1
Bạn đăng bài thư viện ML.NET???,0
Mày ngu clgt!,1
Mình giúp em sửa lỗi khu C5...,0
Thằng óc chó thế nhỉ nhé,1
Em hẹn lịch phòng trọ Thái Nguyên nhé,0
Bạn giúp em sửa lỗi phòng trọ Thái Nguyên nhé,0
clgt,1
v c l,1
Nhóm mình đăng bài phòng trọ Thái Nguyên nhé,0
Đồ án này làm chán quá toàn lỗi,0
Thằng vô học nghỉ học đi???,1
Mọi người tìm phòng ở môn .NET...,0
Nhóm mình chia sẻ Lab vào tối thứ 5???,0
Lũ rác rưởi vcl!,1
Con ngu biến đi???,1
Đồ rác rưởi clgt,1
Thằng ngu clgt!,1
Mọi người tìm phòng ở đồ án C#,0
Thầy hẹn lịch khu C5...,0
Nhóm mình tìm phòng ở thư viện ML.NET!,0
Bạn đăng bài khu C5...,0
đ.m,1
Mày vô học nghỉ học đi...,1
Thằng rác rưởi clgt nhé,1
Mày làm ăn như hạch clgt ạ,1
Đồ vô học vcl!,1
Lỗi này fix thế nào anh em?,0
đ m,1
Em tìm phòng ở môn .NET nhé,0
r4c rư0i,1
đkm,1
Đồ rác rưởi biến đi,1
Thằng làm ăn như hạch đm...,1
Thằng làm ăn như hạch nghỉ học đi...,1
Mọi người giúp em sửa lỗi phòng trọ Thái Nguyên!,0
Thằng óc chó nghỉ học đi???,1
Hôm nay thời tiết đẹp quá,0
Mọi người chia sẻ tài liệu ôn thi đi,0
Em giúp em sửa lỗi Lab vào tối thứ 5,0
Con lừa đảo biến đi,1
Mày rác rưởi vcl,1
Em tìm phòng ở thư viện ML.NET,0
Lũ làm ăn như hạch vcl???,1
Thằng óc chó thế nhỉ,1
Con vô học đm???,1
Thằng làm ăn như hạch nghỉ học đi nhé,1
v l,1
Mày làm ăn như hạch nghỉ học đi!,1
Đồ vô học vcl???,1
Thằng rác rưởi biến đi nhé,1
thằng l,1
Lũ lừa đảo nghỉ học đi nhé,1
Mình cho hỏi về thư viện ML.NET!,0
Mọi người đăng bài khu C5!,0
đ m,1
Đồ óc chó clgt,1
Mình cho hỏi về môn .NET...,0
đm,1
Mày lừa đảo đm,1
Nhóm mình tối nay họp online nhé,0
Thuốc này dùng để diệt chuột,0
Nhóm mình tìm phòng ở khu C5...,0
Mình hẹn lịch đồ án C# nhé,0
Lũ rác rưởi clgt!,1
Mày rác rưởi vcl,1
Đồ óc chó nghỉ học đi!,1
Con óc chó thế nhỉ nhé,1
Mày ngu đm...,1
Bạn tìm phòng ở khu C5...,0
Lũ vô học vcl...,1
Mày làm ăn như hạch biến đi,1
Em đăng bài khu C5,0
Đồ làm ăn như hạch nghỉ học đi???,1
Con óc chó đm!,1
Mình chia sẻ thư viện ML.NET ạ,0
vcl thật sự,1
Thằng ngu đm nhé,1
Mày rác rưởi biến đi...,1
Bạn chia sẻ thư viện ML.NET...,0
Đồ làm ăn như hạch biến đi!,1
Mày vô học vcl ạ,1
Đồ rác rưởi đm!,1
Cái đồ quỷ sứ này làm nũng hoài,0
Hôm nay thời tiết đẹp quá,0
Mày rác rưởi biến đi???,1
Thầy tìm phòng ở phòng trọ Thái Nguyên...,0
Thằng lừa đảo đm ạ,1
Mày ngu đm...,1
Con óc chó biến đi nhé,1
Mình giúp em sửa lỗi môn .NET...,0
Mọi người chia sẻ Lab vào tối thứ 5...,0
thằng ranh con,1
Mày ngu biến đi,1
Con lừa đảo biến đi nhé,1
Thầy giúp em sửa lỗi khu C5 nhé,0
Mình chia sẻ môn .NET nhé,0
Thằng làm ăn như hạch vcl nhé,1
Mày làm ăn như hạch nghỉ học đi nhé,1
Trời ơi cứu tui với bài khó quá,0
Chán như con gián,0
Thằng ngu đm!,1
đkm,1
Đồ làm ăn như hạch biến đi ạ,1
Mọi người chia sẻ Lab vào tối thứ 5...,0
Mình hẹn lịch thư viện ML.NET nhé,0
Nhóm mình tìm phòng ở Lab vào tối thứ 5,0
Con rác rưởi thế nhỉ???,1
Con lừa đảo nghỉ học đi,1
Em giúp em sửa lỗi môn .NET...,0
Đồ làm ăn như hạch clgt...,1
Bực mình ghê mạng lag quá không chơi được game,0
Con ngu thế nhỉ...,1
Con làm ăn như hạch đm???,1
Mày óc chó đm...,1
đậu xanh,1
Bạn tìm phòng ở khu C5 ạ,0
Con làm ăn như hạch đm...,1
Con vô học thế nhỉ,1
Đồ ngu nghỉ học đi nhé,1
Thầy cho hỏi về phòng trọ Thái Nguyên!,0
Con rác rưởi biến đi,1
Nhóm mình tìm phòng ở phòng trọ Thái Nguyên!,0
Mọi người chia sẻ môn .NET!,0
Con lừa đảo biến đi???,1
Con vô học biến đi...,1
Đồ lừa đảo clgt ạ,1
Thằng rác rưởi nghỉ học đi...,1
Thằng phế vật,1
Mọi người chia sẻ đồ án C#,0
Em chia sẻ thư viện ML.NET nhé,0
Mọi người hẹn lịch môn .NET!,0
Mình cho hỏi về Lab vào tối thứ 5...,0
Con làm ăn như hạch nghỉ học đi nhé,1
Thằng lừa đảo vcl,1
Em tìm phòng ở Lab vào tối thứ 5 ạ,0
Món này ăn dở tệ,0
Bài này khó quá làm mãi không ra,0
Thằng rác rưởi biến đi...,1
Bạn chia sẻ đồ án C#...,0
Con làm ăn như hạch nghỉ học đi!,1
Nhóm mình chia sẻ môn .NET...,0
Đồ dẻ rách,1
Đập chết con muỗi rồi,0
Mọi người cho hỏi về thư viện ML.NET!,0
Nhóm mình tìm phòng ở thư viện ML.NET...,0
Thằng vô học vcl???,1
Mình cho hỏi về thư viện ML.NET nhé,0
Lũ óc chó clgt!,1
Con ngu vcl!,1
Lũ óc chó biến đi...,1
Thằng vô học thế nhỉ,1
Mình tìm phòng ở đồ án C# nhé,0
Con lừa đảo clgt!,1
Mọi người đăng bài môn .NET???,0
clgt,1
Mày sủa bậy bạ gì đấy,1
v l,1
Thằng rác rưởi nghỉ học đi!,1
Nhóm mình cho hỏi về phòng trọ Thái Nguyên???,0
Em cho hỏi về Lab vào tối thứ 5!,0
Mày rác rưởi đm nhé,1
Thằng vô học biến đi nhé,1
Mình hẹn lịch Lab vào tối thứ 5???,0
r4c rư0i,1
Thằng óc chó thế nhỉ,1
Cho mình hỏi cách đăng ký môn học,0
vcl,1
Lũ vô học biến đi nhé,1
Nhóm mình tìm phòng ở Lab vào tối thứ 5,0
Đồ ngu nghỉ học đi!,1
Lũ vô học biến đi,1
Cái thứ súc vật,1
con đĩ này,1
Thằng óc chó nghỉ học đi!,1
Mình giúp em sửa lỗi môn .NET,0
Đồ vô học nghỉ học đi???,1
Đồ lừa đảo vcl...,1
Thằng phế vật,1
Nhóm mình chia sẻ đồ án C#???,0
Thằng ngu biến đi???,1
Đồ ngu biến đi???,1
Lũ ngu nghỉ học đi!,1
Thằng ngu đm!,1
Đồ lừa đảo vcl nhé,1
mày bị điên à,1
Thằng làm ăn như hạch đm nhé,1
Con rác rưởi thế nhỉ...,1
Mình cho hỏi về môn .NET,0
đậu xanh,1
Mày ngu thế nhỉ ạ,1
Mình hẹn lịch Lab vào tối thứ 5???,0
Mọi người giúp em sửa lỗi môn .NET???,0
Giết thời gian bằng cách đọc sách,0
Đồ ngu biến đi nhé,1
Đập chết con muỗi rồi,0
Em cho hỏi về khu C5 nhé,0
óc chó à,1
con đĩ này,1
Em chia sẻ thư viện ML.NET nhé,0
Mọi người tìm phòng ở khu C5!,0
Thằng vô học nghỉ học đi???,1
Bạn tìm phòng ở môn .NET,0
Đồ lừa đảo thế nhỉ,1
Bạn tìm phòng ở phòng trọ Thái Nguyên nhé,0
Đánh bay vết bẩn cứng đầu,0
Con làm ăn như hạch biến đi,1
Con ngu biến đi ạ,1
Đồ lừa đảo thế nhỉ,1
vcl,1
Mọi người cho hỏi về khu C5,0
Mọi người giúp em sửa lỗi thư viện ML.NET...,0
Con điên này sủa cái gì,1
làm ăn như cái đb,1
Mày óc chó thế nhỉ,1
Thằng ngu đm!,1
Bạn đăng bài môn .NET ạ,0
Thằng vô học clgt,1
Mọi người cho hỏi về Lab vào tối thứ 5!,0
Lũ vô học biến đi nhé,1
Con làm ăn như hạch nghỉ học đi nhé,1
Mình tìm phòng ở đồ án C#!,0
Em chia sẻ khu C5!,0
Bạn đăng bài thư viện ML.NET,0
Con lừa đảo nghỉ học đi,1
Lũ rác rưởi vcl nhé,1
Đồ ăn hại,1
Thằng ngu nghỉ học đi nhé,1
Lỗi này fix thế nào anh em?,0
Mày ngu biến đi???,1
Thầy tìm phòng ở khu C5,0
Đồ lừa đảo clgt!,1
Bạn chia sẻ thư viện ML.NET...,0
Lỗi này fix thế nào anh em?,0
Mình giúp em sửa lỗi thư viện ML.NET,0
Nhóm mình chia sẻ phòng trọ Thái Nguyên nhé,0
Lũ rác rưởi vcl ạ,1
Em hẹn lịch Lab vào tối thứ 5???,0
Con rác rưởi vcl ạ,1
Mọi người cho hỏi về đồ án C# nhé,0
Lũ rác rưởi biến đi...,1
Em tìm phòng ở khu C5,0
Mình tìm phòng ở đồ án C# ạ,0
Bạn hẹn lịch môn .NET...,0
Lũ óc chó nghỉ học đi...,1
Mày câm mồm vào,1
Em giúp em sửa lỗi khu C5!,0
Lũ làm ăn như hạch đm???,1
Bạn đăng bài đồ án C#,0
Bạn hẹn lịch môn .NET...,0
Thằng óc chó clgt nhé,1
Thằng vô học thế nhỉ,1
Nhóm mình giúp em sửa lỗi Lab vào tối thứ 5???,0
Mọi người tìm phòng ở thư viện ML.NET!,0
vcl,1
Mình cho hỏi về phòng trọ Thái Nguyên nhé,0
Lũ làm ăn như hạch clgt???,1
đm mày,1
Mày ngu thế nhỉ ạ,1
ng^,1
Đồ rác rưởi biến đi...,1
cho mình hỏi chút với,0
Mày vô học biến đi nhé,1
cút mẹ mày đi,1
Món này ăn dở tệ,0
Lũ óc chó clgt!,1
Trời ơi cứu tui với bài khó quá,0
Lũ ngu vcl nhé,1
Con rác rưởi clgt nhé,1
Lũ rác rưởi đm ạ,1
Hôm nay đi học mệt thật sự,0
Bạn giúp em sửa lỗi khu C5???,0
Lũ làm ăn như hạch đm,1
Con óc chó vcl nhé,1
Bạn tìm phòng ở môn .NET,0
Đồ làm ăn như hạch nghỉ học đi,1
Bực mình ghê mạng lag quá không chơi được game,0
Lũ ngu nghỉ học đi,1
Em đăng bài đồ án C#???,0
Thầy tìm phòng ở đồ án C# nhé,0
hi các bạn,0
Mình hẹn lịch Lab vào tối thứ 5,0
Bạn giúp em sửa lỗi phòng trọ Thái Nguyên ạ,0
Mọi người đăng bài đồ án C#...,0
Đồ ngu nghỉ học đi!,1
Mọi người đăng bài môn .NET!,0
Nhóm mình hẹn lịch đồ án C#???,0
Đồ vô học biến đi nhé,1
v c l,1
Mọi người giúp em sửa lỗi môn .NET???,0
Mày lừa đảo nghỉ học đi nhé,1
Thằng phế vật,1
Đồ ăn hại,1
Nhóm mình tìm phòng ở phòng trọ Thái Nguyên!,0
Chán như con gián,0
Thằng vô học vcl...,1
Con vô học vcl ạ,1
Mày câm mồm vào,1
Em giúp em sửa lỗi đồ án C# nhé,0
Thầy hẹn lịch đồ án C#...,0
Mày óc chó vcl???,1
Nhóm mình đăng bài thư viện ML.NET,0
Thằng vô học thế nhỉ,1
Thầy đăng bài Lab vào tối thứ 5???,0
đ m m,1
Thầy tìm phòng ở môn .NET nhé,0
Lỗi này fix thế nào anh em?,0
Đồ óc chó biến đi???,1
Giúp em sửa lỗi đồ án C# với ạ,0
Cảm ơn bạn nhiều nha,0
đm mày,1
Thằng chó đẻ,1
Thằng ngu clgt nhé,1
Em tìm phòng ở thư viện ML.NET...,0
Mày óc chó vcl???,1
xin chào,0
chúc cuối tuần vui vẻ,0
Lũ làm ăn như hạch clgt...,1
Con lừa đảo nghỉ học đi!,1
Bạn đăng bài phòng trọ Thái Nguyên,0
ngu vl,1
Mọi người giúp em sửa lỗi thư viện ML.NET???,0
Bắt chó đi dạo thôi,0
Lũ óc chó clgt!,1
Mày óc chó đm???,1
Thằng vô học thế nhỉ,1
Mình hẹn lịch môn .NET,0
đmm,1
mày bị điên à,1
Cảm ơn bạn nhiều nha,0
Thằng rác rưởi nghỉ học đi,1
Đồ lừa đảo vcl...,1
Thầy tìm phòng ở đồ án C#!,0
Mọi người hẹn lịch Lab vào tối thứ 5,0
Mày vô học nghỉ học đi,1
Mọi người chia sẻ tài liệu ôn thi đi,0
Bạn cho hỏi về thư viện ML.NET!,0
Mọi người cho hỏi về môn .NET,0
Mày lừa đảo clgt...,1
Mọi người tìm phòng ở phòng trọ Thái Nguyên nhé,0
Mày ngu nghỉ học đi,1
Lũ óc chó vcl!,1
Mọi người hẹn lịch khu C5!,0
Thằng làm ăn như hạch clgt!,1
Mọi người giúp em sửa lỗi đồ án C#,0
Em giúp em sửa lỗi Lab vào tối thứ 5...,0
Bực mình ghê mạng lag quá không chơi được game,0
Thằng làm ăn như hạch đm???,1
ng^,1
Thằng lừa đảo clgt...,1
Thầy tìm phòng ở Lab vào tối thứ 5,0
Đồ rác rưởi biến đi,1
Em tìm phòng ở phòng trọ Thái Nguyên???,0
Đồ óc chó clgt nhé,1
Trường mình dạo này nhiều sự kiện ghê,0
Thằng ngu clgt,1
Lũ lừa đảo nghỉ học đi ạ,1
Thằng làm ăn như hạch clgt???,1
Thầy hẹn lịch đồ án C# ạ,0
Thằng ngu biến đi,1
Bạn hẹn lịch thư viện ML.NET???,0
Bạn đăng bài phòng trọ Thái Nguyên nhé,0
Em tìm phòng ở đồ án C#!,0
Mình chia sẻ thư viện ML.NET...,0
thằng l,1
Bạn đăng bài đồ án C#???,0
Đồ ngu vcl nhé,1
Lũ óc chó nghỉ học đi...,1
Bạn hẹn lịch Lab vào tối thứ 5!,0
Mọi người hẹn lịch Lab vào tối thứ 5 nhé,0
Mình cho hỏi về môn .NET!,0
Lũ làm ăn như hạch nghỉ học đi ạ,1
Mọi người cho hỏi về đồ án C#...,0
Đồ óc chó vcl!,1
Đồ làm ăn như hạch vcl ạ,1
Lũ ngu clgt???,1
Thầy đăng bài phòng trọ Thái Nguyên!,0
Lũ óc chó đm,1
Mày ngu vcl...,1
Mọi người tìm phòng ở phòng trọ Thái Nguyên...,0
Thằng vô học vcl???,1
Đồ ăn hại,1
đ.m,1
Thầy tìm phòng ở đồ án C#,0
Con rác rưởi thế nhỉ...,1
Em hẹn lịch khu C5???,0
Con làm ăn như hạch biến đi!,1
Đồ lừa đảo vcl!,1
Con óc chó thế nhỉ ạ,1
Mày câm mồm vào,1
Lũ ngu clgt???,1
Con óc chó đm???,1
Bạn chia sẻ Lab vào tối thứ 5???,0
Mình cho hỏi về thư viện ML.NET!,0
Thằng ngu vcl!,1
Mình hẹn lịch khu C5???,0
Mọi người đăng bài môn .NET!,0
Cho mình hỏi cách đăng ký môn học,0
r4c rư0i,1
Con vô học thế nhỉ???,1
Đồ án này làm chán quá toàn lỗi,0
Con lừa đảo nghỉ học đi nhé,1
Nhóm mình tối nay họp online nhé,0
Đồ ngu nghỉ học đi!,1
Mày ngu clgt???,1
Bạn hẹn lịch Lab vào tối thứ 5 ạ,0
đm mày,1
Bạn giúp em sửa lỗi khu C5???,0
Con ngu nghỉ học đi???,1
Bạn chia sẻ thư viện ML.NET,0
Đập chết con muỗi rồi,0
Thầy chia sẻ môn .NET nhé,0
Đồ rác rưởi nghỉ học đi!,1
Thầy giúp em sửa lỗi Lab vào tối thứ 5 nhé,0
Em tìm phòng ở đồ án C#,0
Thầy đăng bài phòng trọ Thái Nguyên...,0
Đồ làm ăn như hạch thế nhỉ???,1
Mình chia sẻ phòng trọ Thái Nguyên,0
Mình cho hỏi về khu C5 ạ,0
Em cho hỏi về thư viện ML.NET nhé,0
Đồ ngu biến đi nhé,1
Giết thời gian bằng cách đọc sách,0
Đồ dẻ rách,1
Lũ ngu vcl!,1
Mày làm ăn như hạch nghỉ học đi???,1
Nhóm mình đăng bài phòng trọ Thái Nguyên...,0
Lũ làm ăn như hạch nghỉ học đi nhé,1
Đồ rác rưởi đm...,1
Thằng vô học nghỉ học đi ạ,1
Mày làm ăn như hạch nghỉ học đi...,1
Mày ngu nghỉ học đi!,1
Mày vô học thế nhỉ ạ,1
Mày vô học đm,1
mày bị điên à,1
Đồ dẻ rách,1
Bạn giúp em sửa lỗi đồ án C#!,0
Cái thứ súc vật,1
Thầy chia sẻ đồ án C#...,0
Con lừa đảo thế nhỉ nhé,1
Lũ vô học vcl???,1
Bạn giúp em sửa lỗi thư viện ML.NET...,0
Em giúp em sửa lỗi phòng trọ Thái Nguyên,0
Thằng óc chó thế nhỉ ạ,1
Thầy chia sẻ thư viện ML.NET nhé,0
Mọi người chia sẻ đồ án C#!,0
Thằng ngu đm!,1
Bạn giúp em sửa lỗi thư viện ML.NET???,0
Thằng rác rưởi biến đi???,1
Đồ ngu đm...,1
Đồ ngu nghỉ học đi!,1
